"","x"
"1189",3207
"1190",3106
"1191",3094
"1192",3129
"1193",3187
"1194",3179
"1195",3196
"1196",3211
"1197",3251
"1198",3270
"1199",3262
"1200",3247
"1201",3211
"1202",3203
"1203",3247
"1204",3289
"1205",3305
"1206",3318
"1207",3334
"1208",3286
"1209",3321
"1210",3271
"1211",3267
"1212",3286
"1213",3324
"1214",3319
"1215",3355
"1216",3363
"1217",3352
"1218",3333
"1219",3374
"1220",3415
"1221",3445
"1222",3433
"1223",3394
"1224",3364
"1225",3388
"1226",3349
"1227",3346
"1228",3354
"1229",3291
"1230",3282
"1231",3308
"1232",3262
"1233",3262
"1234",3246
"1235",3245
"1236",3266
"1237",3234
"1238",3242
"1239",3230
"1240",3173
"1241",3167
"1242",3123
"1243",3137
"1244",3178
"1245",3203
"1246",3157
"1247",3176
"1248",3194
"1249",3158
"1250",3176
"1251",3146
"1252",3138
"1253",3131
"1254",3189
"1255",3231
"1256",3209
"1257",3168
"1258",3176
"1259",3198
"1260",3136
"1261",3136
"1262",3155
"1263",3160
"1264",3149
"1265",3100
"1266",3118
"1267",3061
"1268",3112
"1269",3128
"1270",3144
"1271",3150
"1272",3153
"1273",3142
"1274",3044
"1275",3046
"1276",3055
"1277",3085
"1278",3116
"1279",3122
"1280",3101
"1281",3118
"1282",3113
"1283",3127
"1284",3181
"1285",3214
"1286",3212
"1287",3140
"1288",3085
"1289",3055
"1290",3042
"1291",3087
"1292",3076
"1293",3034
"1294",3053
"1295",3004
"1296",3025
"1297",3027
"1298",3017
"1299",3063
"1300",3043
"1301",3036
"1302",2991
"1303",3018
"1304",3013
"1305",3068
"1306",3046
"1307",3027
"1308",3025
"1309",3062
"1310",3071
"1311",3125
"1312",3164
"1313",3145
"1314",3135
"1315",3114
"1316",3143
"1317",3159
"1318",3127
"1319",3083
"1320",3122
"1321",3098
"1322",3089
"1323",3077
"1324",3107
"1325",3129
"1326",3133
"1327",3151
"1328",3158
"1329",3123
"1330",3132
"1331",3117
"1332",3092
"1333",3072
"1334",3089
"1335",3155
"1336",3118
"1337",3120
"1338",3092
"1339",3070
"1340",3058
"1341",3055
"1342",3063
"1343",3068
"1344",2981
"1345",2946
"1346",2993
"1347",2970
"1348",2990
"1349",3057
"1350",3117
"1351",3129
"1352",3131
"1353",3115
"1354",3072
"1355",3038
"1356",2997
"1357",3029
"1358",3011
"1359",3035
"1360",3021
"1361",3009
"1362",3005
"1363",3017
"1364",2985
"1365",2965
"1366",2963
"1367",2993
"1368",3038
"1369",3040
"1370",2977
"1371",2957
"1372",2963
"1373",2947
"1374",2908
"1375",2923
"1376",2937
"1377",2945
"1378",2919
"1379",2955
"1380",2955
"1381",2919
"1382",2905
"1383",2902
"1384",2929
"1385",2918
"1386",2976
"1387",2920
"1388",2914
"1389",2917
"1390",2857
"1391",2811
"1392",2810
"1393",2792
"1394",2798
"1395",2814
"1396",2823
"1397",2818
"1398",2825
"1399",2808
"1400",2798
"1401",2805
"1402",2815
"1403",2830
"1404",2849
"1405",2853
"1406",2857
"1407",2911
"1408",2981
"1409",2997
"1410",3015
"1411",3080
"1412",3079
"1413",3096
"1414",3071
"1415",3010
"1416",3031
"1417",3060
"1418",3060
"1419",3040
"1420",3096
"1421",3094
"1422",3088
"1423",3095
"1424",3134
"1425",3183
"1426",3148
"1427",3190
"1428",3134
"1429",3202
"1430",3215
"1431",3233
"1432",3235
"1433",3172
"1434",3093
"1435",3116
"1436",3076
"1437",3096
"1438",3146
"1439",3154
"1440",3129
"1441",3134
"1442",3142
"1443",3155
"1444",3140
"1445",3102
"1446",3047
"1447",3093
"1448",3109
"1449",3124
"1450",3135
"1451",3124
"1452",3094
"1453",3123
"1454",3095
"1455",3081
"1456",3042
"1457",3066
"1458",2999
"1459",3026
"1460",3072
"1461",3079
"1462",3078
"1463",3138
"1464",3140
"1465",3134
"1466",3105
"1467",3072
"1468",3046
"1469",3059
"1470",3093
"1471",3145
"1472",3162
"1473",3121
"1474",3114
"1475",3121
"1476",3117
"1477",3155
"1478",3122
"1479",3124
"1480",3114
"1481",3078
"1482",3076
"1483",3042
"1484",3038
"1485",3054
"1486",3041
"1487",3031
"1488",2980
"1489",2953
"1490",2920
"1491",2901
"1492",2878
"1493",2835
"1494",2867
"1495",2933
"1496",3011
"1497",3015
"1498",3034
"1499",2977
"1500",3029
"1501",3068
"1502",3077
"1503",3093
"1504",3093
"1505",3103
"1506",3165
"1507",3205
"1508",3180
"1509",3247
"1510",3235
"1511",3214
"1512",3227
"1513",3225
"1514",3218
"1515",3234
"1516",3259
"1517",3285
"1518",3260
"1519",3217
"1520",3187
"1521",3177
"1522",3177
"1523",3135
"1524",3108
"1525",3106
"1526",3062
"1527",3051
"1528",3027
"1529",3066
"1530",3135
"1531",3143
"1532",3170
"1533",3175
"1534",3195
"1535",3213
"1536",3245
"1537",3264
"1538",3222
"1539",3239
"1540",3230
"1541",3272
"1542",3246
"1543",3228
"1544",3309
"1545",3301
"1546",3321
"1547",3314
"1548",3311
"1549",3360
"1550",3351
"1551",3281
"1552",3262
"1553",3262
"1554",3235
"1555",3238
"1556",3212
"1557",3240
"1558",3253
"1559",3244
"1560",3250
"1561",3233
"1562",3229
"1563",3244
"1564",3229
"1565",3179
"1566",3163
"1567",3125
"1568",3126
"1569",3111
"1570",3119
"1571",3088
"1572",3062
"1573",3116
"1574",3153
"1575",3144
"1576",3120
"1577",3086
"1578",3055
"1579",3026
"1580",3086
"1581",3089
"1582",3144
"1583",3139
"1584",3137
"1585",3141
"1586",3147
"1587",3127
"1588",3121
"1589",3054
"1590",3092
"1591",3080
"1592",3063
"1593",3088
"1594",3147
"1595",3180
"1596",3213
"1597",3177
"1598",3166
"1599",3152
"1600",3147
"1601",3173
"1602",3162
"1603",3209
"1604",3242
"1605",3250
"1606",3267
"1607",3286
"1608",3296
"1609",3264
"1610",3277
"1611",3259
"1612",3251
"1613",3267
"1614",3301
"1615",3311
"1616",3327
"1617",3243
"1618",3246
"1619",3208
"1620",3246
"1621",3225
"1622",3240
"1623",3285
"1624",3304
"1625",3321
"1626",3289
"1627",3286
"1628",3306
"1629",3287
"1630",3294
"1631",3341
"1632",3298
"1633",3259
"1634",3319
"1635",3371
"1636",3381
"1637",3416
"1638",3438
"1639",3451
"1640",3426
"1641",3391
"1642",3401
"1643",3388
"1644",3386
"1645",3384
"1646",3384
"1647",3373
"1648",3309
"1649",3287
"1650",3247
"1651",3265
"1652",3212
"1653",3256
"1654",3246
"1655",3294
"1656",3303
"1657",3317
"1658",3338
"1659",3336
"1660",3368
"1661",3373
"1662",3419
"1663",3444
"1664",3444
"1665",3412
"1666",3425
"1667",3411
"1668",3364
"1669",3362
"1670",3378
"1671",3451
"1672",3469
"1673",3478
"1674",3474
"1675",3527
"1676",3587
"1677",3604
"1678",3605
"1679",3618
"1680",3581
"1681",3598
"1682",3582
"1683",3535
"1684",3514
"1685",3521
"1686",3514
"1687",3522
"1688",3571
"1689",3528
"1690",3544
"1691",3515
"1692",3527
"1693",3510
"1694",3519
"1695",3547
"1696",3553
"1697",3541
"1698",3531
"1699",3527
"1700",3473
"1701",3456
"1702",3438
"1703",3432
"1704",3436
"1705",3453
"1706",3484
"1707",3479
"1708",3496
"1709",3522
"1710",3480
"1711",3465
"1712",3398
"1713",3381
"1714",3457
"1715",3429
"1716",3428
"1717",3411
"1718",3428
"1719",3463
"1720",3442
"1721",3402
"1722",3408
"1723",3405
"1724",3413
"1725",3409
"1726",3450
"1727",3487
"1728",3449
"1729",3429
"1730",3444
"1731",3482
"1732",3511
"1733",3537
"1734",3515
"1735",3541
"1736",3533
"1737",3498
"1738",3549
"1739",3550
"1740",3568
"1741",3543
"1742",3552
"1743",3510
"1744",3483
"1745",3506
"1746",3467
"1747",3486
"1748",3513
"1749",3519
"1750",3505
"1751",3478
"1752",3436
"1753",3421
"1754",3434
"1755",3443
"1756",3478
"1757",3526
"1758",3537
"1759",3564
"1760",3603
